feature,Description not found,3/31/01,6/30/01,9/30/01,12/31/01,3/31/02,6/30/02,9/30/02,12/31/02,3/31/03,6/30/03,9/30/03,12/31/03,3/31/04,6/30/04,9/30/04,12/31/04,3/31/05,6/30/05,9/30/05,12/31/05,3/31/06,6/30/06,9/30/06,12/31/06,3/31/07,6/30/07,9/30/07,12/31/07,3/31/08,6/30/08,9/30/08,12/31/08,3/31/09,6/30/09,9/30/09,12/31/09,3/31/10,6/30/10,9/30/10,12/31/10,3/31/11,6/30/11,9/30/11,12/31/11,3/31/12,6/30/12,9/30/12,12/31/12,3/31/13,6/30/13,9/30/13,12/31/13,3/31/14,6/30/14,9/30/14,12/31/14,3/31/15,6/30/15,9/30/15,12/31/15,3/31/16,6/30/16,9/30/16,12/31/16,3/31/17,6/30/17,9/30/17,12/31/17,3/31/18,6/30/18,9/30/18,12/31/18,3/31/19,6/30/19,9/30/19,12/31/19,3/31/20,6/30/20,9/30/20,12/31/20,3/31/21,6/30/21,9/30/21,12/31/21,3/31/22,6/30/22,9/30/22,12/31/22,3/31/23,6/30/23,9/30/23,12/31/23,3/31/24,6/30/24,9/30/24,12/31/24,3/31/25,6/30/25,9/30/25
RCFN6631,Noninterest-bearing,1704000,2309000,1836000,1842000,2713000,2716000,1899000,2080000,2213000,2248000,2578107,2983328,2684241,4013359,2871661,3047204,2643470,5919880,6371011,7350173,6781135,7746378,5054626,5327022,3083521,3834598,5553584,3455806,3672065,3546440,3685487,3885517,3437609,3451229,3238039,3889546,3585747,3791455,3706417,5162585,3535308,3787830,3975406,4241899,4212028,6094058,4538776,5732734,6098000,5970000,6552000,7343000,7888000,7755000,7549000,7722000,7354000,8370000,8665000,10098000,11353000,11522000,12355000,8879000,10660000,10713000,8721000,14371000,13954000,14417000,13090000,14602000,12240000,16165000,15158000,15998000,14893000,15473000,15483000,18690000,23460000,26055000,26541000,28662000,29689000,28916000,23883000,21626000,19153000,18931000,17375000,17547000,18020000,15938000,17991000,17710000,16545000,15208000,16332000
RCFD1773,Available-for-sale securities,45461000,49815000,71002000,82259000,72125000,79653000,86794000,67635000,74214000,112664000,62871353,67207211,140608323,147658608,143401057,175974884,199807820,232746410,227164298,221484260,238611781,237198418,195147895,194115115,180712232,173616707,176150370,205711965,212657141,241020677,235300608,258424071,205690166,224180430,220329501,272855751,294437436,304248583,311566470,324110835,318110508,320749141,314806044,275131077,289913827,293603766,298963455,280057724,254750000,233056000,227975000,229203000,243280000,243457000,260439000,280696000,284844000,293300000,293881000,302082000,280389000,285649000,297604000,290673000,292278000,295565000,295015000,298229000,285398000,257204000,224578000,215311000,217403000,221452000,230782000,229534000,191020000,176193000,220926000,223557000,243588000,250558000,247991000,267232000,257760000,236075000,197778000,192110000,139173000,109836000,146931000,247264000,294135000,272357000,296168000,327106000,356586000,358306000,370575000
RCFD0081,Noninterest-bearing balances and currency and coin,24069000,26225000,25156000,27019000,24090000,21964000,24628000,24692000,24640000,24881000,21832358,26936644,21432894,23440199,22968831,21404267,20949826,32385285,31232691,34786255,29641720,30980441,29625155,34394847,29877243,32721861,32050230,36880778,34488161,34733482,34233130,31296506,26180422,24011017,22224584,24495194,19302288,19518322,19640370,24164848,23786623,24091813,21899891,27875190,21690110,22052032,20837979,26272766,21330000,25738000,26019000,27888000,24417000,26300000,22825000,26057000,23974000,24522000,22080000,25339000,22133000,24029000,21890000,25451000,23423000,23944000,25114000,25381000,21616000,25206000,23270000,24456000,22695000,25757000,22643000,25348000,22787000,28039000,27683000,30603000,28120000,25644000,24045000,23826000,24113000,23793000,22378000,24989000,25100000,26239000,22348000,25190000,20994000,23130000,21364000,23015000,21615000,23310000,22011000
RCFD3839,Surplus (e xclude all sur plus related to pref erred stoc k),32620000,32675000,32666000,32675000,32805000,32911000,33038000,33044000,33212000,33319000,33492176,33620710,33780773,33900620,33990961,34129212,37015945,79798697,79977547,80017114,80251938,80304771,82444787,82541076,82654699,82684705,82711878,82730129,86405373,86646024,91230199,114725979,114735535,127365099,136915919,140493413,140430255,140424933,140421781,140408294,144792948,144792949,144782772,144794360,144749268,144743596,144743596,145000334,142755000,143957000,143959000,143958000,143923000,143923000,143920000,169983000,170067000,170219000,170414000,170412000,170391000,170430000,170531000,170686000,170690000,170692000,173195000,173198000,173199000,173259000,173259000,174233000,167108000,167108000,166233000,166233000,166233000,166234000,166234000,166234000,166887000,167950000,167950000,176727000,176727000,176727000,176727000,176728000,176728000,176728000,176728000,176728000,176728000,176744000,176881000,177144000,177161000,177631000,177631000
RCFD3200,Subordinated notes and debentures,9828000,9629000,9630000,9630000,9629000,9628000,7628000,7628000,7528000,7529000,7528000,7528000,7528000,7228000,7228000,7228000,7228000,10980166,10964495,12449424,12434353,13469122,13239792,16496369,18453399,19570723,21051566,21231341,21182829,20472523,22563133,24873265,24357272,25024150,25117950,24949844,24832931,25068323,25374737,25114350,25042173,25124592,25443341,25433288,25330524,18214787,15301700,15240775,12361000,9313000,6358000,6277000,6289000,6307000,6268000,6322000,6358000,6238000,6278000,6216000,6270000,5239000,5203000,5026000,2986000,1695000,1692000,1680000,1627000,1606000,1577000,1618000,1663000,1732000,1835000,1744000,1977000,1974000,1937000,1883000,1739000,1795000,1775000,1780000,1670000,1567000,1485000,1485000,1514000,1478000,1397000,1476000,1435000,1424000,1473000,1401000,1420000,1415000,1411000
RCFD3163,Goodwill,10238000,10122000,9310000,9162000,9258000,9258000,9697000,9697000,9680000,9680000,9679876,9678876,9677321,9668050,9668050,10270672,10412951,40479969,40396623,40400712,40454538,40433819,41561541,41575069,41586077,41731564,41778913,40747022,42466952,42460917,42459131,53368345,53368318,56823234,57173234,57347715,57347715,56867193,57068185,57224908,57226708,57226708,57226708,57226708,57226708,57226708,57226708,57226708,57227000,57227000,57244000,57244000,57244000,57244000,57244000,57244000,57244000,57244000,57244000,57244000,57244000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57227000,57299000,57299000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000,57344000
RCON6636,Interest-bearing,216462000,214011000,216526000,221166000,226138000,224957000,228615000,231742000,242466000,255461000,255921989,262573872,268144396,276373829,289381087,305056072,309002450,400188902,391227516,384387788,392769095,388894139,410359449,419082128,425896440,422939004,429519344,446549442,459427296,452611233,479861964,536943921,527806676,567606843,555855891,554057222,559562341,557647183,542319192,542688835,548338600,633974745,638007507,626667696,624996166,624937244,629996514,658147624,668732000,654030000,652065000,645036000,655068000,643574000,730730000,737718000,746901000,746682000,747436000,762340000,770002000,774055000,777379000,795779000,809529000,793670000,815508000,838108000,855213000,846591000,883893000,917011000,933485000,925001000,943390000,957860000,1016777000,1055440000,1004122000,1046465000,1082137000,1077733000,1105929000,1161725000,1194168000,1158651000,1171355000,1216954000,1220973000,1239146000,1267407000,1313645000,1344475000,1331627000,1346789000,1363772000,1380510000,1400210000,1390406000
RCFDA130,Description not found,0,0,0,0,0,-17000,-13000,-7000,-1000,-24000,-21090,-18009,-46301,-40543,-38060,-32299,-149199,-139541,-122745,-104225,-103002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCFDB530,Accum ulated other comprehensiv e income,289000,-255000,1776000,60157,-54000,722000,719000,1254000,171000,79000,-1746678,-2612104,-2848912,-3474515,-2491956,-2821262,-5447398,-5143860,-6801725,-7745144,-9094058,-11130416,-7194371,-7871625,-7704982,-9980963,-8568087,-7068945,-7382823,-10098443,-10061120,-11835851,-7899564,-7795499,-4426367,-3962134,-3294916,-373149,-1076526,-2706690,-3309031,-1713548,1089280,-613063,-862416,685406,2815714,918009,-117000,-4372000,-3412000,-5237000,-3963000,-1645000,-2714000,-1682000,-416000,-2943000,-1433000,-3250000,-306000,868000,398000,-4795000,-4901000,-4234000,-3781000,-4338000,-9289000,-10348000,-11430000,-9540000,-7398000,-5039000,-3500000,-3491000,1021000,1225000,1511000,1363000,-236000,-40000,-513000,-2026000,-9891000,-13173000,-18689000,-18419000,-15862000,-17930000,-19041000,-14435000,-14718000,-14318000,-10880000,-11972000,-10280000,-9351000,-8310000
RCFD3210,Total equity capital,51105000,51266000,52506000,52597750,48707000,49902000,50411000,51239000,49419000,49738000,48567686,49105879,49652005,50006382,52313224,53687151,56145421,102052361,101645353,102422683,102443322,102342143,110479298,109526404,108801788,108593412,108778651,108480218,111146525,108738653,113770008,132838001,135295755,150000610,162795645,166163746,167719209,169294066,169982097,171325208,173789028,175895052,179655799,177480029,175945720,178930409,180078677,177457631,179334000,177650000,180470000,178693000,180101000,182681000,182073000,202360000,203501000,201384000,202675000,201504000,208141000,210055000,211576000,206199000,205059000,206975000,209031000,207775000,205704000,205312000,204564000,207718000,210085000,212590000,211628000,212148000,207462000,209996000,213865000,218605000,220421000,225296000,228382000,236427000,229392000,230922000,228937000,225449000,232471000,230009000,229009000,236206000,237333000,239356000,243688000,245482000,246924000,250540000,251567000
