mdrm_code,name,03/31/2001,06/30/2001,09/30/2001,12/31/2001,03/31/2002,06/30/2002,09/30/2002,12/31/2002,03/31/2003,06/30/2003,09/30/2003,12/31/2003,03/31/2004,06/30/2004,09/30/2004,12/31/2004,03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024,12/31/2024,03/31/2025,06/30/2025,09/30/2025
RCFD0010,Cash and balances due - Noninterest-bearing,27394000.0,28299000.0,27407000.0,30195000.0,28656000.0,25685000.0,28805000.0,28324000.0,27791000.0,29321000.0,26431977.0,32001909.0,26569638.0,30503018.0,30442227.0,29749436.0,29304790.0,38828204.0,37462381.0,42407071.0,37948038.0,42533380.0,44598656.0,50723060.0,41049262.0,43592870.0,42378009.0,49700191.0,46847896.0,48058398.0,51942931.0,46682006.0,150739599.0,96696614.0,148120382.0,121847261.0,136246124.0,146328504.0,126727738.0,111470539.0,78491448.0,97260135.0,81389230.0,123656102.0,137505273.0,136863710.0,112187350.0,114276595.0,94046000.0,78162000.0,106662000.0,104369000.0,126416000.0,131022000.0,199010000.0,127221000.0,148889000.0,148349000.0,157760000.0,147751000.0,165565000.0,151813000.0,127024000.0,134342000.0,150879000.0,146478000.0,155267000.0,149215000.0,189958000.0,159445000.0,172929000.0,159983000.0,156172000.0,158592000.0,146056000.0,148788000.0,227508000.0,264955000.0,274904000.0,352410000.0,300115000.0,235106000.0,257785000.0,320797000.0,247364000.0,173971000.0,190769000.0,213093000.0,365662000.0,358258000.0,338672000.0,322796000.0,301246000.0,308640000.0,279852000.0,271902000.0,254852000.0,244293000.0,232923000.0
RCFD0071,Cash and balances due - Interest-bearing,3325000.0,2074000.0,2251000.0,3176000.0,4566000.0,3721000.0,4177000.0,3632000.0,3151000.0,4440000.0,4599619.0,5065265.0,5136744.0,7062819.0,7473396.0,8345169.0,8354964.0,6442919.0,6229691.0,7620816.0,8306318.0,11552938.0,14973502.0,16328212.0,11172018.0,10871009.0,10327778.0,12819413.0,12359735.0,13324915.0,17709801.0,15385499.0,124559177.0,72685596.0,125895798.0,97352067.0,116943837.0,126810181.0,107087368.0,87305691.0,54704826.0,73168321.0,59489338.0,95780913.0,115815164.0,114811678.0,91349371.0,88003829.0,72716000.0,52424000.0,80643000.0,76481000.0,101999000.0,104722000.0,176185000.0,101164000.0,124915000.0,123827000.0,135680000.0,122412000.0,143432000.0,127784000.0,105134000.0,108891000.0,127456000.0,122534000.0,130153000.0,123834000.0,168342000.0,134239000.0,149659000.0,135527000.0,133477000.0,132835000.0,123413000.0,123440000.0,204721000.0,236916000.0,247221000.0,321807000.0,271995000.0,209462000.0,233740000.0,296971000.0,223251000.0,150178000.0,168391000.0,188104000.0,340562000.0,332019000.0,316324000.0,297606000.0,280252000.0,285510000.0,258488000.0,248887000.0,233237000.0,220983000.0,210912000.0
RCFD0081,Held-to-maturity securities,24069000.0,26225000.0,25156000.0,27019000.0,24090000.0,21964000.0,24628000.0,24692000.0,24640000.0,24881000.0,21832358.0,26936644.0,21432894.0,23440199.0,22968831.0,21404267.0,20949826.0,32385285.0,31232691.0,34786255.0,29641720.0,30980441.0,29625155.0,34394847.0,29877243.0,32721861.0,32050230.0,36880778.0,34488161.0,34733482.0,34233130.0,31296506.0,26180422.0,24011017.0,22224584.0,24495194.0,19302288.0,19518322.0,19640370.0,24164848.0,23786623.0,24091813.0,21899891.0,27875190.0,21690110.0,22052032.0,20837979.0,26272766.0,21330000.0,25738000.0,26019000.0,27888000.0,24417000.0,26300000.0,22825000.0,26057000.0,23974000.0,24522000.0,22080000.0,25339000.0,22133000.0,24029000.0,21890000.0,25451000.0,23423000.0,23944000.0,25114000.0,25381000.0,21616000.0,25206000.0,23270000.0,24456000.0,22695000.0,25757000.0,22643000.0,25348000.0,22787000.0,28039000.0,27683000.0,30603000.0,28120000.0,25644000.0,24045000.0,23826000.0,24113000.0,23793000.0,22378000.0,24989000.0,25100000.0,26239000.0,22348000.0,25190000.0,20994000.0,23130000.0,21364000.0,23015000.0,21615000.0,23310000.0,22011000.0
RCFD8719,Available-for-sale debt securities,17507000.0,16453000.0,13686000.0,13573000.0,13157000.0,14691000.0,14764000.0,16658000.0,18200000.0,22250000.0,28659057.0,30829391.0,26532932.0,30866059.0,31991863.0,34615312.0,34910304.0,27888387.0,30593779.0,29469895.0,31276276.0,32831794.0,36088236.0,33459709.0,48853493.0,48006432.0,58521691.0,55609697.0,42634236.0,29269280.0,29911769.0,29444109.0,18707988.0,19585800.0,29534470.0,35653105.0,35759216.0,8723251.0,7204886.0,6304836.0,6378543.0,5052920.0,4257074.0,73529303.0,128684940.0,140628101.0,158085948.0,164660309.0,178893000.0,190296000.0,230061000.0,253914000.0,224298000.0,230098000.0,216007000.0,211894000.0,203299000.0,183614000.0,177096000.0,183035000.0,163304000.0,156160000.0,158390000.0,140428000.0,153295000.0,138015000.0,152076000.0,153781000.0,138102000.0,141332000.0,156510000.0,159521000.0,172843000.0,178558000.0,175671000.0,197727000.0,171770000.0,177509000.0,202000000.0,225288000.0,247984000.0,305417000.0,346352000.0,339380000.0,331688000.0,328087000.0,341256000.0,384916000.0,427234000.0,442294000.0,420347000.0,440957000.0,493587000.0,506117000.0,540702000.0,585188000.0,572087000.0,593940000.0,705178000.0
RCFD1754,Equity securities,1131000.0,1116000.0,1102000.0,1036000.0,1029000.0,1012000.0,1003000.0,1014000.0,915000.0,262000.0,504452.0,229075.0,226328.0,17293.0,13572.0,10981.0,8647.0,169083.0,132396.0,47268.0,74097.0,60675.0,56483.0,40579.0,925669.0,994687.0,518196.0,491265.0,862250.0,1265327.0,1246557.0,681984.0,415408.0,2066635.0,2367332.0,3018788.0,90161.0,182689.0,181306.0,181305.0,181291.0,180695.0,26458178.0,35265406.0,34205133.0,35167513.0,39897926.0,49480678.0,49577000.0,54922000.0,54649000.0,55150000.0,55120000.0,60022000.0,60175000.0,59766000.0,59815000.0,60072000.0,66573000.0,84625000.0,97978000.0,102279000.0,112409000.0,117071000.0,116033000.0,119008000.0,122345000.0,125013000.0,123539000.0,163013000.0,194472000.0,203157000.0,198351000.0,199877000.0,189918000.0,214725000.0,254190000.0,268678000.0,338365000.0,438278000.0,575995000.0,651394000.0,683054000.0,674513000.0,672135000.0,658204000.0,643664000.0,632784000.0,624446000.0,614066000.0,603303000.0,594550000.0,586858000.0,577361000.0,567548000.0,558672000.0,550714000.0,541279000.0,531408000.0
RCFD3545,Trading assets,44301000.0,45223000.0,54141000.0,45149000.0,52265000.0,64830000.0,64287000.0,66439000.0,69409000.0,75785000.0,71669787.0,72307201.0,76175686.0,76552509.0,92324718.0,74530033.0,93971057.0,99755158.0,90000853.0,91479043.0,86164011.0,97848261.0,102288569.0,105287589.0,120333363.0,133323017.0,131006607.0,121808574.0,139689232.0,110930638.0,130646697.0,130519836.0,94902251.0,67785888.0,77887004.0,61191062.0,62654028.0,64856404.0,68382218.0,66969589.0,61115026.0,54485747.0,66501071.0,63373297.0,67029809.0,77954029.0,81879113.0,87319703.0,120390000.0,106805000.0,85671000.0,89265000.0,84233000.0,86274000.0,84584000.0,83922000.0,87040000.0,80218000.0,76199000.0,67757000.0,75057000.0,75765000.0,75886000.0,73139000.0,76708000.0,88220000.0,76729000.0,87316000.0,83475000.0,94076000.0,99175000.0,77357000.0,83339000.0,83871000.0,85408000.0,77464000.0,80071000.0,88618000.0,110007000.0,69139000.0,121644000.0,112612000.0,106167000.0,85703000.0,143553000.0,146371000.0,148307000.0,137739000.0,127304000.0,111097000.0,107654000.0,91535000.0,104959000.0,105408000.0,112377000.0,114329000.0,126097000.0,126147000.0,119717000.0
RCFDA550,Trading assets (alt),452000.0,524000.0,742000.0,1752000.0,1321000.0,983000.0,568000.0,665000.0,642000.0,508000.0,513498.0,608952.0,1251394.0,1506294.0,1996069.0,1907262.0,2233432.0,3441038.0,3459302.0,2847095.0,2959256.0,3575243.0,3718635.0,3889520.0,3422901.0,1992527.0,1844896.0,1733880.0,1405091.0,523361.0,2925362.0,2199222.0,1213061.0,325081.0,3716051.0,2703273.0,3813961.0,2695113.0,3408971.0,3559152.0,1956363.0,2258194.0,2361558.0,2474290.0,3307013.0,2330763.0,2052785.0,435221.0,342000.0,453000.0,1706000.0,1880000.0,802000.0,1356000.0,872000.0,1363000.0,1004000.0,1479000.0,1078000.0,1013000.0,741000.0,1154000.0,1287000.0,969000.0,1295000.0,1431000.0,1874000.0,1688000.0,1183000.0,1279000.0,1678000.0,2619000.0,3056000.0,3400000.0,3534000.0,4619000.0,10402000.0,14116000.0,14553000.0,10017000.0,8770000.0,8844000.0,8987000.0,9146000.0,11338000.0,13588000.0,10075000.0,6707000.0,4275000.0,4587000.0,4812000.0,5654000.0,6789000.0,6904000.0,8668000.0,28541000.0,39081000.0,47830000.0,49676000.0
RCFD1583,Federal funds sold,17000.0,15000.0,24000.0,18000.0,15000.0,4000.0,5000.0,4000.0,3000.0,6000.0,3000.0,3732.0,2662.0,1373.0,815.0,31880.0,344.0,3426.0,441.0,257.0,279.0,107.0,1265.0,7514.0,9117.0,24544.0,20267.0,14339.0,11807.0,12283.0,11709.0,15523.0,33395.0,110488.0,92885.0,139536.0,137778.0,103046.0,79282.0,44045.0,46210.0,31260.0,28523.0,18785.0,22818.0,19959.0,17715.0,3311.0,3000.0,3000.0,25000.0,4000.0,4000.0,3000.0,5000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,28000.0,27000.0,2000.0,1000.0,8000.0,8000.0,0.0,49000.0,48000.0,47000.0,46000.0,41000.0,37000.0,34000.0,31000.0,28000.0,32000.0,23000.0,20000.0,23000.0,7000.0,9000.0,5000.0,5000.0,3000.0,4000.0,6000.0,6000.0,6000.0,5000.0,24000.0,3000.0,12000.0,12000.0,16000.0
RCFD1590,Securities purchased under agreements to resell,1929000.0,1748000.0,1716000.0,1854000.0,1385000.0,1252000.0,507000.0,441000.0,412000.0,399000.0,391350.0,1624146.0,1392139.0,1326678.0,1282822.0,1501398.0,1275801.0,1250720.0,1337140.0,2027948.0,1976998.0,1787618.0,1328798.0,1630387.0,1413206.0,1338318.0,1333184.0,1548040.0,1399851.0,1325665.0,1288160.0,1601725.0,1400291.0,1412557.0,1443500.0,1511970.0,1352875.0,1168521.0,1099596.0,1171293.0,1120006.0,1058252.0,1007500.0,1041480.0,975251.0,1063907.0,1127371.0,1147179.0,1130000.0,1038000.0,1056000.0,1177000.0,1206000.0,1163000.0,1252000.0,1388000.0,1259000.0,1253000.0,1213000.0,1202000.0,1050000.0,714000.0,632000.0,670000.0,680000.0,663000.0,567000.0,619000.0,628000.0,532000.0,490000.0,563000.0,499000.0,499000.0,566000.0,644000.0,514000.0,509000.0,568000.0,623000.0,536000.0,597000.0,2813000.0,2866000.0,2733000.0,2860000.0,2915000.0,3096000.0,3106000.0,3042000.0,3032000.0,3394000.0,3258000.0,3051000.0,2776000.0,2901000.0,3101000.0,2917000.0,2947000.0
RCFDA560,Loans and leases held for sale,16964000.0,26310000.0,41717000.0,36668000.0,32658000.0,67643000.0,75486000.0,55640000.0,64123000.0,99800000.0,53354191.0,54725950.0,128286725.0,0.0,120305.0,157524688.0,178689415.0,198021565.0,193002724.0,184271564.0,196753436.0,193343206.0,151287262.0,146613266.0,142894697.0,134601421.0,137482847.0,143255787.0,147547854.0,172935785.0,167524698.0,186922937.0,130281879.0,126770332.0,113376765.0,156083946.0,143771381.0,145384636.0,158355912.0,180512081.0,183156708.0,175240519.0,180236697.0,173531210.0,205347740.0,225790454.0,240630818.0,234508038.0,220922000.0,221340000.0,221128000.0,218640000.0,219483000.0,219486000.0,216864000.0,222518000.0,239457000.0,245369000.0,266050000.0,301199000.0,293645000.0,298825000.0,301603000.0,294120000.0,292141000.0,298661000.0,306221000.0,304672000.0,294795000.0,307547000.0,308541000.0,303115000.0,293748000.0,303933000.0,303672000.0,316462000.0,313370000.0,310907000.0,373777000.0,467635000.0,552936000.0,599478000.0,609436000.0,596044000.0,578621000.0,554046000.0,534949000.0,524072000.0,515754000.0,504563000.0,492471000.0,501089000.0,492263000.0,481815000.0,471374000.0,459426000.0,450978000.0,440480000.0,431359000.0
